date,central,western,north,east
04/11/2013,2,0,0,0
11/11/2013,20,0,0,0
18/11/2013,9,0,0,0
25/11/2013,33,1,0,0
02/12/2013,24,7,0,0
09/12/2013,39,8,7,0
16/12/2013,102,52,0,0
23/12/2013,208,89,0,0
30/12/2013,289,148,3,0
06/01/2014,506,122,7,0
13/01/2014,470,69,72,0
20/01/2014,828,155,162,0
27/01/2014,697,125,17,0
03/02/2014,763,174,99,3
10/02/2014,641,268,57,1
17/02/2014,942,185,8,2
24/02/2014,1018,173,39,1
03/03/2014,714,165,176,1
10/03/2014,360,466,70,0
17/03/2014,271,235,9,0
24/03/2014,264,10,3,5
31/03/2014,69,4,0,0
07/04/2014,130,54,0,1
14/04/2014,86,40,0,0
21/04/2014,73,27,0,0
28/04/2014,62,23,0,1
05/05/2014,8,85,35,1
12/05/2014,2,45,1,0
19/05/2014,5,25,4,0
26/05/2014,3,14,26,0
02/06/2014,15,1,15,0
09/06/2014,17,30,0,0
16/06/2014,18,34,0,0
23/06/2014,39,48,0,0
30/06/2014,6,11,0,0
07/07/2014,1,48,0,0
14/07/2014,0,47,0,0
21/07/2014,0,105,0,0
28/07/2014,0,20,0,0
04/08/2014,0,21,0,0
11/08/2014,0,32,0,0
18/08/2014,0,2,0,0
25/08/2014,0,9,0,0
01/09/2014,0,18,0,0
