week,date,av_temp,rain_av
11,01/11/2003,24.4895,225.203
12,01/12/2003,25.3974,261.085
1,01/01/2004,25.9279,267.013
2,01/02/2004,26.1533,367.716
3,01/03/2004,25.7813,451.009
4,01/04/2004,24.9539,277.513
5,01/05/2004,24.0011,143.763
6,01/06/2004,23.3243,136.211
7,01/07/2004,22.4309,98.1061
8,01/08/2004,22.2873,152.135
9,01/09/2004,22.6082,129.325
10,01/10/2004,23.7952,148.78
11,01/11/2004,24.6,161.867
12,01/12/2004,25.5898,217.005
1,01/01/2005,26.2107,332.539
2,01/02/2005,26.5887,305.096
3,01/03/2005,26.4807,351.181
4,01/04/2005,25.0311,354.089
5,01/05/2005,23.9479,142.897
6,01/06/2005,22.9273,138.151
7,01/07/2005,22.1384,122.215
8,01/08/2005,22.5207,110.677
9,01/09/2005,23.64,88.1837
10,01/10/2005,24.3398,163.881
11,01/11/2005,24.7835,251.57
12,01/12/2005,25.2873,248.132
1,01/01/2006,25.6955,359.467
2,01/02/2006,26.0519,314.608
3,01/03/2006,26.0589,400.206
4,01/04/2006,26.1138,211.313
5,01/05/2006,24.2936,231.397
6,01/06/2006,23.0429,122.647
7,01/07/2006,22.1689,99.1689
8,01/08/2006,22.6071,155.08
9,01/09/2006,22.9473,126.589
10,01/10/2006,23.5754,172.069
11,01/11/2006,24.8946,227.999
12,01/12/2006,25.363,248.879
1,01/01/2007,26.4629,360.331
2,01/02/2007,26.2342,334.302
3,01/03/2007,25.9474,436.989
4,01/04/2007,25.2317,348.247
5,01/05/2007,24.2385,122.718
6,01/06/2007,23.3162,112.925
7,01/07/2007,22.4455,95.9734
8,01/08/2007,22.7269,109.364
9,01/09/2007,23.0549,144.238
10,01/10/2007,24.3265,152.661
11,01/11/2007,24.6443,341.912
12,01/12/2007,25.1889,312.574
1,01/01/2008,25.4969,502.769
2,01/02/2008,25.8049,335.537
3,01/03/2008,25.6802,378.512
4,01/04/2008,25.4165,275.453
5,01/05/2008,23.6251,201.673
6,01/06/2008,23.468,118.903
7,01/07/2008,22.3285,101.716
8,01/08/2008,22.5544,103.648
9,01/09/2008,22.9686,113.313
10,01/10/2008,24.017,142.555
11,01/11/2008,24.344,223.804
12,01/12/2008,25.3086,255.096
1,01/01/2009,25.6033,335.371
2,01/02/2009,26.1808,263.727
3,01/03/2009,25.6212,423.63
4,01/04/2009,25.1493,311.061
5,01/05/2009,23.7399,161.764
6,01/06/2009,22.8102,148.73
7,01/07/2009,22.2115,105.786
8,01/08/2009,22.9771,108.933
9,01/09/2009,22.764,136.147
10,01/10/2009,23.2981,155.999
11,01/11/2009,24.5998,185.21
12,01/12/2009,25.2925,231.808
1,01/01/2010,25.4473,329.259
2,01/02/2010,26.0934,274.096
3,01/03/2010,25.8127,379.829
4,01/04/2010,25.2202,310.721
5,01/05/2010,24.7028,126.008
6,01/06/2010,24.0557,96.2789
7,01/07/2010,22.2481,91.6505
8,01/08/2010,22.6335,107.223
9,01/09/2010,23.153,120.237
10,01/10/2010,23.5435,157.772
11,01/11/2010,24.2601,238.933
12,01/12/2010,25.0792,272.964
1,01/01/2011,25.621,354.065
2,01/02/2011,26.1016,323.055
3,01/03/2011,25.6827,416.314
4,01/04/2011,25.1127,322.021
5,01/05/2011,24.1382,175.232
6,01/06/2011,23.2582,137.764
7,01/07/2011,22.4443,107.331
8,01/08/2011,22.2329,116.808
9,01/09/2011,22.64,117.3
10,01/10/2011,23.6227,170.868
11,01/11/2011,24.4161,229.941
12,01/12/2011,24.9682,267.44
1,01/01/2012,25.5111,388.307
2,01/02/2012,25.617,321.092
3,01/03/2012,25.5574,454.131
4,01/04/2012,25.1457,325.343
5,01/05/2012,23.6004,139.023
6,01/06/2012,22.9639,125.371
7,01/07/2012,22.2387,100.681
8,01/08/2012,22.4598,112.251
9,01/09/2012,22.7853,133.146
10,01/10/2012,23.605,162.421
11,01/11/2012,24.1856,214.953
12,01/12/2012,25.2507,266.59
1,01/01/2013,25.7084,336.715
2,01/02/2013,25.7269,322.752
3,01/03/2013,25.7749,410.703
4,01/04/2013,25.4483,300.797
5,01/05/2013,23.903,159.947
6,01/06/2013,23.1589,137.822
7,01/07/2013,22.2209,87.2185
8,01/08/2013,22.5969,111.039
9,01/09/2013,22.8952,135.047
10,01/10/2013,23.6392,172.069
11,01/11/2013,24.4622,245.497
12,01/12/2013,25.2317,271.393
1,01/01/2014,25.6152,363.26
2,01/02/2014,25.9562,309.791
3,01/03/2014,25.7501,403.764
4,01/04/2014,25.336,300.631
5,01/05/2014,23.8167,166.194
6,01/06/2014,23.3197,122.748
7,01/07/2014,22.0791,95.1577
8,01/08/2014,22.3581,109.199
9,01/09/2014,22.9154,125.719
10,01/10/2014,23.5778,160.962
11,01/11/2014,24.3345,225.061
12,01/12/2014,25.0698,253.455
1,01/01/2015,25.954,455.756
2,01/02/2015,25.8759,319.408
3,01/03/2015,25.8411,403.655
4,01/04/2015,25.1646,296.833
5,01/05/2015,23.7647,121.53
6,01/06/2015,23.0726,125.478
7,01/07/2015,22.1193,95.6827
8,01/08/2015,22.2837,115.897
9,01/09/2015,22.6388,123.453
10,01/10/2015,23.6203,159.34
11,01/11/2015,24.4835,216.872
12,01/12/2015,24.9529,261.222
